                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.0953,                 1.4707,                 1.4448,                0.37211,                0.60658,                 0.4743,                0.31911,                  1.162,                 1.4485,                 1.8168,              0.0056275,              0.0056275,              0.0056275
                     56,                 1.0968,                 1.4706,                 1.4493,                0.40509,                0.59317,                0.48585,                0.33126,                  1.177,                 1.4045,                 1.8316,               0.005545,               0.005545,               0.005545
                     57,                 1.0896,                 1.4612,                 1.4431,                0.39115,                0.61737,                 0.4824,                0.32625,                 1.1718,                 1.4123,                 1.8324,              0.0054625,              0.0054625,              0.0054625
                     58,                 1.0934,                 1.4591,                 1.4424,                  0.391,                0.60056,                0.47713,                0.32416,                   1.16,                 1.4235,                 1.8218,                0.00538,                0.00538,                0.00538
                     59,                 1.0944,                 1.4544,                 1.4464,                0.40226,                0.57795,                0.47902,                0.32214,                 1.1678,                 1.4252,                 1.8271,              0.0052975,              0.0052975,              0.0052975
                     60,                 1.0921,                 1.4516,                 1.4389,                 0.3934,                0.60915,                0.48458,                0.32702,                 1.1704,                 1.4347,                 1.8322,               0.005215,               0.005215,               0.005215
                     61,                 1.0872,                  1.457,                 1.4361,                0.37649,                0.61438,                0.47712,                0.31972,                 1.1778,                 1.4322,                  1.838,              0.0051325,              0.0051325,              0.0051325
                     62,                 1.0854,                 1.4501,                 1.4399,                0.40889,                0.57598,                0.47817,                0.32217,                  1.179,                 1.4419,                 1.8355,                0.00505,                0.00505,                0.00505
                     63,                 1.0856,                 1.4461,                 1.4403,                0.40244,                0.61113,                0.47802,                0.32197,                 1.1777,                 1.4451,                 1.8357,              0.0049675,              0.0049675,              0.0049675
                     64,                 1.0877,                 1.4452,                 1.4431,                 0.4133,                0.54427,                0.47603,                0.31932,                 1.1764,                 1.4442,                 1.8353,               0.004885,               0.004885,               0.004885
                     65,                 1.0785,                 1.4511,                 1.4356,                0.40732,                0.58198,                0.47314,                0.31872,                 1.1692,                 1.4483,                 1.8241,              0.0048025,              0.0048025,              0.0048025
                     66,                 1.0764,                 1.4173,                 1.4323,                 0.4006,                0.57743,                0.47399,                0.31928,                 1.1821,                 1.4544,                 1.8366,                0.00472,                0.00472,                0.00472
                     67,                 1.0795,                 1.4309,                 1.4396,                0.39428,                0.60322,                0.47484,                0.32234,                 1.1734,                 1.4439,                 1.8302,              0.0046375,              0.0046375,              0.0046375
                     68,                 1.0762,                 1.4398,                 1.4358,                0.39071,                0.60845,                0.47307,                0.32116,                 1.1716,                 1.4471,                 1.8306,               0.004555,               0.004555,               0.004555
                     69,                 1.0805,                 1.4244,                  1.436,                0.38103,                0.59617,                0.47584,                  0.325,                 1.1728,                 1.4508,                 1.8272,              0.0044725,              0.0044725,              0.0044725
                     70,                 1.0697,                 1.4197,                 1.4333,                0.39262,                0.58492,                0.47371,                0.32326,                 1.1665,                 1.4614,                 1.8263,                0.00439,                0.00439,                0.00439
                     71,                 1.0796,                 1.4206,                 1.4352,                0.40717,                0.57013,                0.47678,                0.32523,                 1.1691,                 1.4598,                  1.831,              0.0043075,              0.0043075,              0.0043075
                     72,                  1.071,                 1.4172,                 1.4256,                0.42021,                0.57483,                0.48502,                 0.3288,                 1.1779,                 1.4435,                 1.8378,               0.004225,               0.004225,               0.004225
                     73,                 1.0791,                 1.4108,                 1.4325,                0.42311,                0.56942,                0.48064,                0.32704,                 1.1721,                  1.458,                 1.8299,              0.0041425,              0.0041425,              0.0041425
                     74,                 1.0643,                 1.4077,                 1.4225,                0.42068,                0.57341,                0.47973,                0.32623,                 1.1698,                 1.4715,                 1.8265,                0.00406,                0.00406,                0.00406
                     75,                 1.0701,                 1.4148,                 1.4303,                 0.4195,                 0.5568,                0.48626,                0.33058,                 1.1693,                 1.4565,                 1.8278,              0.0039775,              0.0039775,              0.0039775
                     76,                 1.0614,                 1.3865,                 1.4248,                0.40904,                0.56582,                0.48768,                0.33207,                 1.1686,                 1.4497,                  1.826,               0.003895,               0.003895,               0.003895
                     77,                 1.0666,                 1.3903,                 1.4234,                0.40788,                 0.5876,                0.48786,                0.33394,                 1.1671,                 1.4528,                 1.8259,              0.0038125,              0.0038125,              0.0038125
                     78,                 1.0637,                 1.3833,                 1.4276,                0.39714,                 0.5899,                0.48715,                0.33331,                 1.1638,                 1.4517,                 1.8221,                0.00373,                0.00373,                0.00373
                     79,                 1.0693,                 1.3849,                 1.4297,                0.40204,                0.58976,                0.48613,                 0.3303,                 1.1704,                 1.4502,                  1.823,              0.0036475,              0.0036475,              0.0036475
                     80,                 1.0619,                 1.3765,                 1.4237,                0.41943,                0.56849,                0.48967,                0.33267,                 1.1676,                 1.4493,                 1.8214,               0.003565,               0.003565,               0.003565
                     81,                  1.066,                  1.382,                 1.4263,                0.42772,                0.55757,                0.49165,                0.33438,                 1.1689,                 1.4533,                 1.8233,              0.0034825,              0.0034825,              0.0034825
                     82,                 1.0574,                  1.385,                 1.4238,                0.42206,                0.54963,                0.48994,                0.33365,                 1.1688,                 1.4533,                 1.8242,                 0.0034,                 0.0034,                 0.0034
                     83,                  1.064,                 1.3823,                 1.4246,                0.41529,                0.56132,                 0.4928,                0.33431,                 1.1707,                 1.4408,                 1.8261,              0.0033175,              0.0033175,              0.0033175
                     84,                 1.0544,                 1.3605,                 1.4207,                0.42575,                0.56551,                0.49244,                0.33482,                  1.167,                 1.4553,                 1.8244,               0.003235,               0.003235,               0.003235
                     85,                   1.05,                 1.3618,                 1.4196,                0.43064,                0.55791,                  0.493,                0.33456,                 1.1699,                 1.4536,                 1.8297,              0.0031525,              0.0031525,              0.0031525
                     86,                 1.0563,                  1.367,                 1.4219,                 0.4221,                0.55484,                0.49366,                0.33489,                 1.1682,                  1.454,                 1.8284,                0.00307,                0.00307,                0.00307
                     87,                 1.0487,                 1.3564,                 1.4178,                 0.4077,                 0.5693,                0.48867,                0.33204,                 1.1702,                 1.4593,                 1.8303,              0.0029875,              0.0029875,              0.0029875
                     88,                  1.051,                  1.349,                 1.4133,                0.41572,                0.57558,                0.48906,                0.33351,                  1.172,                 1.4633,                 1.8318,               0.002905,               0.002905,               0.002905
                     89,                 1.0469,                 1.3466,                 1.4206,                 0.4229,                0.55243,                0.48842,                0.33172,                 1.1711,                 1.4773,                 1.8319,              0.0028225,              0.0028225,              0.0028225
                     90,                 1.0495,                 1.3424,                 1.4193,                0.40524,                0.56327,                0.48612,                0.33096,                 1.1721,                 1.4803,                 1.8316,                0.00274,                0.00274,                0.00274
                     91,                 1.0506,                 1.3456,                 1.4183,                 0.4033,                 0.5709,                0.48438,                0.33023,                 1.1691,                 1.4867,                 1.8289,              0.0026575,              0.0026575,              0.0026575
                     92,                 1.0474,                 1.3398,                  1.416,                0.40986,                  0.568,                0.48448,                0.32875,                 1.1701,                 1.4844,                 1.8286,               0.002575,               0.002575,               0.002575
                     93,                 1.0452,                 1.3337,                 1.4162,                0.41992,                0.56429,                0.48158,                0.32845,                 1.1678,                 1.4904,                 1.8262,              0.0024925,              0.0024925,              0.0024925
                     94,                  1.046,                 1.3363,                 1.4118,                0.41798,                0.56693,                0.48092,                0.32699,                 1.1676,                 1.4898,                 1.8249,                0.00241,                0.00241,                0.00241
                     95,                 1.0342,                 1.3236,                 1.4085,                 0.4185,                0.55394,                0.48223,                0.32675,                 1.1698,                 1.4945,                 1.8263,              0.0023275,              0.0023275,              0.0023275
                     96,                 1.0477,                  1.324,                 1.4182,                 0.4208,                0.54731,                0.48327,                0.32972,                 1.1682,                  1.496,                 1.8263,               0.002245,               0.002245,               0.002245
                     97,                 1.0381,                 1.3359,                 1.4131,                0.42117,                0.54879,                0.48307,                0.32905,                 1.1685,                 1.4992,                 1.8269,              0.0021625,              0.0021625,              0.0021625
                     98,                   1.04,                  1.311,                 1.4119,                0.42235,                0.54942,                0.48159,                0.32805,                 1.1706,                 1.5066,                 1.8292,                0.00208,                0.00208,                0.00208
                     99,                 1.0344,                 1.2969,                 1.4051,                0.41986,                0.55193,                0.48024,                0.32765,                 1.1705,                 1.5119,                  1.829,              0.0019975,              0.0019975,              0.0019975
                    100,                 1.0382,                 1.3119,                 1.4087,                0.42139,                 0.5472,                 0.4805,                0.32818,                   1.17,                  1.519,                 1.8289,               0.001915,               0.001915,               0.001915
                    101,                 1.0411,                 1.2951,                 1.4106,                 0.4256,                0.53986,                0.47788,                0.32525,                 1.1695,                 1.5232,                 1.8293,              0.0018325,              0.0018325,              0.0018325
                    102,                 1.0241,                 1.2992,                 1.4023,                0.42156,                0.54649,                0.47809,                0.32512,                 1.1703,                 1.5217,                 1.8303,                0.00175,                0.00175,                0.00175
                    103,                 1.0271,                 1.3014,                 1.4034,                0.41577,                0.54633,                0.47968,                0.32543,                 1.1702,                 1.5215,                  1.831,              0.0016675,              0.0016675,              0.0016675
                    104,                 1.0321,                 1.3025,                 1.4049,                0.41536,                0.54694,                0.47836,                0.32439,                 1.1697,                 1.5262,                 1.8309,               0.001585,               0.001585,               0.001585
                    105,                 1.0284,                 1.2823,                 1.4034,                0.41412,                0.54353,                0.47899,                0.32456,                 1.1705,                 1.5311,                 1.8325,              0.0015025,              0.0015025,              0.0015025
                    106,                   1.03,                 1.2914,                  1.409,                0.41249,                0.55091,                0.47936,                0.32413,                 1.1707,                 1.5376,                 1.8326,                0.00142,                0.00142,                0.00142
                    107,                  1.025,                 1.2758,                 1.3989,                0.41058,                0.55438,                0.47776,                0.32304,                 1.1709,                 1.5425,                 1.8332,              0.0013375,              0.0013375,              0.0013375
                    108,                  1.018,                 1.2768,                 1.3988,                0.41206,                0.55609,                0.47744,                0.32289,                 1.1721,                 1.5448,                 1.8355,               0.001255,               0.001255,               0.001255
                    109,                  1.018,                 1.2732,                 1.3971,                0.40936,                0.54994,                0.47575,                0.32197,                 1.1716,                 1.5486,                  1.836,              0.0011725,              0.0011725,              0.0011725
                    110,                 1.0179,                 1.2676,                 1.3967,                0.41286,                0.53717,                0.47466,                0.32159,                 1.1716,                 1.5536,                 1.8356,                0.00109,                0.00109,                0.00109
                    111,                  1.025,                 0.9186,                 1.6324,                0.40066,                0.56674,                0.47422,                0.32139,                 1.1717,                 1.5551,                 1.8366,              0.0010075,              0.0010075,              0.0010075
                    112,                 1.0178,                0.88472,                 1.6234,                0.40719,                0.55369,                0.47425,                0.32137,                 1.1722,                 1.5572,                 1.8374,               0.000925,               0.000925,               0.000925
                    113,                 1.0185,                0.87182,                  1.623,                0.40544,                0.55541,                0.47463,                0.32124,                 1.1725,                 1.5589,                 1.8379,              0.0008425,              0.0008425,              0.0008425
                    114,                 1.0123,                0.86402,                 1.6132,                0.40458,                 0.5547,                0.47404,                0.32064,                 1.1721,                 1.5612,                 1.8377,                0.00076,                0.00076,                0.00076
                    115,                 1.0104,                0.85823,                 1.6181,                0.39913,                0.56685,                0.47369,                0.32063,                 1.1722,                 1.5637,                 1.8379,              0.0006775,              0.0006775,              0.0006775
                    116,                 1.0035,                 0.8384,                 1.6057,                0.39905,                0.57286,                0.47414,                0.32161,                 1.1723,                 1.5672,                 1.8382,               0.000595,               0.000595,               0.000595
                    117,                 1.0036,                0.83313,                 1.6116,                0.39748,                0.57787,                0.47399,                0.32161,                 1.1723,                  1.572,                 1.8387,              0.0005125,              0.0005125,              0.0005125
                    118,                 1.0014,                0.82921,                 1.6067,                0.39385,                0.58087,                0.47287,                  0.321,                 1.1722,                  1.576,                 1.8386,                0.00043,                0.00043,                0.00043
                    119,                0.99592,                0.82738,                 1.6079,                0.39129,                0.58027,                0.47158,                0.31987,                 1.1721,                 1.5805,                 1.8391,              0.0003475,              0.0003475,              0.0003475
                    120,                0.99446,                0.82573,                 1.6063,                0.38969,                0.58035,                0.47178,                0.32066,                 1.1723,                 1.5843,                 1.8394,               0.000265,               0.000265,               0.000265
