                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3417,                 3.2433,                   1.74,                0.12835,                0.91991,                0.16035,                0.09424,                 1.4045,                 2.5882,                 2.1097,              0.0033267,              0.0033267,              0.0033267
                      2,                 1.2376,                  2.505,                 1.5738,                0.22023,                0.69244,                0.27646,                0.16951,                 1.3268,                 2.1714,                 1.9938,              0.0066051,              0.0066051,              0.0066051
                      3,                 1.2716,                 2.2389,                 1.5914,                0.21709,                0.61248,                0.25427,                0.15095,                 1.4036,                 2.0191,                 2.1339,              0.0098285,              0.0098285,              0.0098285
                      4,                 1.3042,                 2.0452,                 1.5943,                0.24881,                0.64542,                0.31364,                0.18969,                  1.383,                  1.849,                 2.0978,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.2717,                 1.9264,                 1.5748,                0.25491,                0.64229,                0.35712,                 0.2233,                 1.2622,                 1.6941,                  1.946,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.2582,                  1.861,                 1.5582,                  0.241,                0.66635,                0.33298,                0.21119,                 1.2729,                 1.7298,                 1.9654,                0.00967,                0.00967,                0.00967
                      7,                 1.2366,                 1.8433,                 1.5457,                 0.2876,                0.66465,                0.35154,                0.22366,                 1.2588,                 1.6982,                 1.9427,              0.0095875,              0.0095875,              0.0095875
                      8,                  1.241,                 1.8019,                 1.5488,                 0.3075,                0.62302,                0.36934,                0.23965,                   1.26,                  1.551,                  1.925,               0.009505,               0.009505,               0.009505
                      9,                  1.218,                 1.7783,                 1.5275,                0.27318,                0.69282,                0.36603,                0.24108,                 1.1988,                 1.6141,                 1.8653,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.2082,                 1.7618,                 1.5271,                0.29185,                0.63882,                 0.3755,                0.24554,                 1.1964,                 1.5905,                 1.8641,                0.00934,                0.00934,                0.00934
                     11,                 1.2044,                  1.746,                 1.5207,                 0.3112,                0.67261,                0.37873,                0.25265,                 1.1968,                 1.5666,                 1.8566,              0.0092575,              0.0092575,              0.0092575
                     12,                  1.195,                  1.729,                 1.5112,                0.32186,                0.64083,                0.39098,                0.25485,                 1.1823,                 1.5428,                 1.8549,               0.009175,               0.009175,               0.009175
                     13,                 1.1894,                 1.7183,                 1.5113,                0.30015,                0.68074,                0.37476,                0.25033,                 1.1669,                 1.5876,                 1.8329,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.1901,                 1.7069,                  1.511,                0.30905,                0.65321,                0.38682,                0.25784,                 1.1786,                 1.5175,                  1.845,                0.00901,                0.00901,                0.00901
                     15,                 1.1766,                 1.6847,                 1.4988,                0.32858,                0.63977,                0.38366,                0.25207,                 1.1933,                 1.5546,                 1.8346,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.1668,                 1.6823,                 1.4929,                0.30838,                0.64215,                0.39304,                0.26412,                 1.1649,                 1.5505,                 1.8208,               0.008845,               0.008845,               0.008845
                     17,                 1.1715,                 1.6594,                 1.4917,                0.30241,                0.61022,                0.38828,                0.26341,                 1.1453,                 1.5261,                 1.8145,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.1587,                  1.665,                 1.4907,                0.28795,                0.66623,                0.40381,                   0.27,                 1.1845,                 1.5227,                 1.8496,                0.00868,                0.00868,                0.00868
                     19,                 1.1637,                 1.6478,                 1.4886,                0.33321,                0.64054,                0.42131,                0.28358,                  1.182,                 1.4912,                 1.8402,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.1569,                  1.647,                 1.4913,                0.31482,                0.65443,                0.39867,                0.26679,                 1.1923,                 1.5254,                 1.8342,               0.008515,               0.008515,               0.008515
                     21,                 1.1631,                 1.6418,                 1.4903,                0.32443,                0.63538,                 0.4126,                 0.2762,                  1.186,                 1.5116,                 1.8413,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.1587,                 1.6395,                 1.4948,                0.31477,                0.60009,                0.40021,                0.26758,                 1.1857,                 1.5848,                 1.8545,                0.00835,                0.00835,                0.00835
                     23,                 1.1566,                 1.6302,                 1.4882,                0.31218,                0.61415,                0.41237,                0.27873,                 1.1804,                 1.4938,                 1.8415,              0.0082675,              0.0082675,              0.0082675
                     24,                  1.145,                 1.6209,                 1.4828,                0.36065,                0.63121,                0.43407,                0.28848,                 1.2057,                 1.4533,                 1.8612,               0.008185,               0.008185,               0.008185
                     25,                 1.1435,                 1.6254,                 1.4741,                0.37215,                0.58329,                 0.4284,                0.29089,                 1.1596,                 1.4721,                  1.816,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.1444,                 1.6039,                 1.4764,                 0.3395,                0.60616,                0.43644,                0.29044,                 1.1777,                 1.4686,                 1.8422,                0.00802,                0.00802,                0.00802
                     27,                 1.1366,                 1.6024,                 1.4767,                0.33438,                0.61308,                0.44221,                0.29481,                 1.1988,                 1.4286,                   1.87,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.1357,                 1.5921,                 1.4782,                0.33239,                0.60322,                0.43173,                 0.2798,                 1.2002,                 1.5037,                 1.8654,               0.007855,               0.007855,               0.007855
                     29,                 1.1363,                 1.5903,                 1.4712,                0.36053,                0.59102,                0.43552,                0.28278,                 1.1656,                 1.4801,                 1.8191,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.1424,                 1.5763,                 1.4742,                0.36006,                0.62141,                0.42927,                0.28835,                   1.19,                 1.4755,                 1.8564,                0.00769,                0.00769,                0.00769
                     31,                  1.133,                 1.5829,                  1.474,                0.34653,                0.61825,                0.43813,                0.28798,                 1.1859,                 1.4595,                 1.8416,              0.0076075,              0.0076075,              0.0076075
                     32,                  1.127,                 1.5819,                 1.4686,                0.38589,                0.57142,                0.45656,                0.30253,                 1.1871,                 1.4403,                 1.8324,               0.007525,               0.007525,               0.007525
                     33,                 1.1292,                 1.5684,                 1.4688,                0.36357,                 0.5935,                0.44245,                0.29653,                 1.1875,                 1.4436,                 1.8483,              0.0074425,              0.0074425,              0.0074425
                     34,                 1.1299,                 1.5624,                 1.4712,                0.35682,                0.59923,                0.45276,                0.29988,                 1.1668,                  1.425,                 1.8261,                0.00736,                0.00736,                0.00736
                     35,                 1.1271,                 1.5545,                 1.4701,                0.35871,                0.66813,                0.46112,                0.31254,                   1.17,                 1.3994,                 1.8349,              0.0072775,              0.0072775,              0.0072775
                     36,                 1.1199,                 1.5474,                 1.4613,                0.37113,                0.56455,                0.44732,                0.30151,                 1.1766,                 1.4604,                 1.8212,               0.007195,               0.007195,               0.007195
                     37,                 1.1142,                 1.5486,                 1.4632,                0.38674,                0.56608,                0.45641,                0.30945,                 1.1831,                 1.4381,                 1.8518,              0.0071125,              0.0071125,              0.0071125
                     38,                 1.1228,                  1.539,                 1.4658,                0.35939,                0.60781,                0.45975,                0.31094,                 1.1575,                 1.4284,                 1.8236,                0.00703,                0.00703,                0.00703
                     39,                 1.1128,                 1.5367,                 1.4594,                0.37761,                0.57703,                0.46372,                0.31501,                 1.1718,                 1.4657,                 1.8324,              0.0069475,              0.0069475,              0.0069475
                     40,                 1.1195,                  1.529,                 1.4567,                   0.38,                0.61148,                0.46665,                0.31375,                 1.1924,                 1.4203,                 1.8559,               0.006865,               0.006865,               0.006865
                     41,                 1.1121,                  1.535,                 1.4558,                0.38163,                 0.6192,                0.47038,                 0.3209,                 1.1682,                 1.4023,                 1.8231,              0.0067825,              0.0067825,              0.0067825
                     42,                 1.1108,                 1.5262,                 1.4602,                0.37072,                0.61345,                0.46338,                0.31542,                 1.1671,                 1.4205,                 1.8285,                 0.0067,                 0.0067,                 0.0067
                     43,                 1.1126,                 1.5135,                  1.455,                0.38664,                0.57368,                0.47011,                0.31856,                 1.1653,                 1.4318,                 1.8288,              0.0066175,              0.0066175,              0.0066175
                     44,                 1.1051,                   1.51,                 1.4548,                0.39704,                0.58005,                0.46894,                0.31448,                 1.1707,                 1.4362,                 1.8299,               0.006535,               0.006535,               0.006535
                     45,                 1.1038,                  1.512,                 1.4568,                0.37935,                0.57207,                0.46511,                0.31025,                 1.1947,                 1.4244,                 1.8532,              0.0064525,              0.0064525,              0.0064525
                     46,                 1.1032,                 1.5093,                 1.4545,                0.39443,                0.55652,                0.46487,                 0.3125,                 1.1557,                 1.4415,                 1.8151,                0.00637,                0.00637,                0.00637
                     47,                 1.1059,                 1.5006,                 1.4553,                0.40062,                0.55955,                0.47509,                 0.3245,                 1.1589,                 1.4227,                 1.8226,              0.0062875,              0.0062875,              0.0062875
                     48,                 1.1049,                 1.4968,                 1.4479,                0.40275,                 0.5522,                0.48389,                0.32759,                 1.1639,                 1.4049,                 1.8244,               0.006205,               0.006205,               0.006205
                     49,                 1.0994,                 1.4947,                  1.452,                0.41287,                0.55008,                0.47189,                0.32263,                 1.1544,                 1.4415,                  1.823,              0.0061225,              0.0061225,              0.0061225
                     50,                 1.1008,                 1.4966,                 1.4485,                0.39816,                0.56705,                0.47408,                 0.3175,                 1.1705,                 1.4399,                 1.8261,                0.00604,                0.00604,                0.00604
                     51,                 1.0969,                 1.4852,                 1.4486,                0.40576,                0.55863,                0.48195,                0.32474,                  1.173,                 1.4154,                 1.8282,              0.0059575,              0.0059575,              0.0059575
                     52,                 1.0998,                 1.4834,                 1.4485,                0.37853,                0.59459,                0.47543,                0.32043,                  1.181,                 1.4571,                 1.8416,               0.005875,               0.005875,               0.005875
                     53,                 1.0972,                  1.477,                 1.4476,                0.41047,                0.56001,                  0.479,                0.32343,                 1.1896,                 1.4405,                 1.8402,              0.0057925,              0.0057925,              0.0057925
                     54,                 1.0969,                 1.4828,                 1.4478,                0.39259,                0.59491,                0.47392,                0.31836,                 1.1826,                 1.4364,                 1.8486,                0.00571,                0.00571,                0.00571
