                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1182,                 1.5148,                 1.4651,                0.39006,                0.59445,                0.46658,                0.30972,                  1.193,                 1.4201,                 1.8477,              0.0072775,              0.0072775,              0.0072775
                     36,                 1.1108,                 1.5021,                 1.4575,                0.38942,                0.56876,                0.45391,                0.30384,                 1.1702,                 1.4799,                 1.8306,               0.007195,               0.007195,               0.007195
                     37,                 1.1092,                 1.5121,                 1.4599,                 0.4184,                0.55275,                0.46519,                0.31122,                 1.1765,                 1.4626,                 1.8434,              0.0071125,              0.0071125,              0.0071125
                     38,                 1.1148,                 1.5048,                 1.4611,                0.41147,                0.55383,                0.47517,                0.32054,                 1.1659,                 1.4061,                 1.8328,                0.00703,                0.00703,                0.00703
                     39,                 1.1031,                 1.4903,                 1.4547,                0.37132,                 0.5865,                0.46297,                0.31447,                 1.1809,                 1.4711,                 1.8428,              0.0069475,              0.0069475,              0.0069475
                     40,                 1.1129,                 1.4846,                 1.4527,                0.40012,                0.58687,                0.48407,                0.32753,                 1.1895,                 1.4195,                 1.8536,               0.006865,               0.006865,               0.006865
                     41,                 1.1039,                 1.4966,                 1.4521,                0.38308,                0.58097,                 0.4745,                0.32311,                 1.1828,                 1.4016,                 1.8403,              0.0067825,              0.0067825,              0.0067825
                     42,                 1.1031,                  1.486,                 1.4563,                0.39846,                0.58294,                0.48026,                0.32509,                 1.1624,                 1.4266,                 1.8134,                 0.0067,                 0.0067,                 0.0067
                     43,                 1.1007,                 1.4707,                  1.448,                0.39773,                 0.5771,                0.47392,                0.32067,                 1.1687,                 1.4375,                 1.8263,              0.0066175,              0.0066175,              0.0066175
                     44,                 1.1019,                 1.4703,                 1.4535,                0.40537,                0.58051,                0.47105,                0.32041,                 1.1664,                 1.4288,                  1.822,               0.006535,               0.006535,               0.006535
                     45,                  1.101,                 1.4747,                 1.4559,                0.39241,                0.55814,                0.47049,                 0.3186,                 1.1835,                 1.4406,                 1.8424,              0.0064525,              0.0064525,              0.0064525
                     46,                 1.1016,                 1.4649,                 1.4548,                0.40327,                0.57898,                0.48769,                0.33075,                 1.1621,                 1.4224,                 1.8177,                0.00637,                0.00637,                0.00637
                     47,                 1.0995,                 1.4519,                 1.4523,                0.39432,                0.57456,                0.48582,                0.32842,                 1.1693,                 1.4222,                 1.8384,              0.0062875,              0.0062875,              0.0062875
                     48,                 1.0977,                 1.4526,                 1.4444,                0.40104,                0.57995,                0.48742,                0.33109,                 1.1648,                 1.4103,                 1.8231,               0.006205,               0.006205,               0.006205
                     49,                 1.0931,                 1.4509,                 1.4468,                0.41264,                0.56294,                0.48704,                 0.3299,                 1.1593,                 1.4635,                  1.815,              0.0061225,              0.0061225,              0.0061225
                     50,                 1.0962,                 1.4503,                  1.445,                0.40092,                0.58294,                0.47502,                0.32376,                 1.1648,                 1.4723,                 1.8253,                0.00604,                0.00604,                0.00604
                     51,                 1.0862,                 1.4476,                 1.4427,                0.41042,                0.56564,                0.47904,                0.32159,                 1.1781,                 1.4484,                 1.8351,              0.0059575,              0.0059575,              0.0059575
                     52,                 1.0914,                 1.4353,                 1.4431,                0.40187,                0.57728,                0.47989,                0.32485,                 1.1691,                 1.4694,                 1.8289,               0.005875,               0.005875,               0.005875
                     53,                 1.0914,                 1.4383,                 1.4458,                0.41374,                0.55149,                0.48071,                0.32477,                 1.1728,                 1.4439,                 1.8307,              0.0057925,              0.0057925,              0.0057925
                     54,                 1.0891,                 1.4336,                 1.4436,                0.40334,                 0.5558,                0.48101,                0.32403,                  1.178,                 1.4554,                  1.842,                0.00571,                0.00571,                0.00571
                     55,                 1.0887,                 1.4242,                 1.4427,                0.39545,                0.58868,                0.48491,                0.32683,                 1.1708,                 1.4364,                 1.8192,              0.0056275,              0.0056275,              0.0056275
                     56,                 1.0861,                 1.4346,                 1.4441,                0.41327,                0.58872,                0.49021,                0.33472,                 1.1519,                 1.4149,                 1.8047,               0.005545,               0.005545,               0.005545
                     57,                 1.0811,                 1.4177,                 1.4386,                0.39766,                0.60497,                0.49018,                0.33077,                 1.1588,                 1.4126,                 1.8159,              0.0054625,              0.0054625,              0.0054625
                     58,                 1.0811,                 1.4174,                 1.4366,                 0.4077,                0.57795,                0.49214,                0.33435,                 1.1547,                  1.422,                 1.8114,                0.00538,                0.00538,                0.00538
                     59,                 1.0845,                 1.4066,                 1.4423,                0.40791,                0.58022,                0.49114,                0.33191,                 1.1764,                 1.4453,                 1.8305,              0.0052975,              0.0052975,              0.0052975
                     60,                 1.0798,                 1.4056,                 1.4333,                0.40308,                0.58419,                0.49357,                0.33263,                 1.1717,                 1.4612,                  1.823,               0.005215,               0.005215,               0.005215
                     61,                 1.0764,                 1.4089,                 1.4313,                0.40071,                0.57795,                0.48805,                0.32786,                 1.1667,                 1.4514,                 1.8232,              0.0051325,              0.0051325,              0.0051325
                     62,                 1.0728,                 1.4034,                 1.4332,                0.39084,                0.60036,                 0.4896,                0.32871,                 1.1724,                 1.4505,                 1.8287,                0.00505,                0.00505,                0.00505
                     63,                 1.0749,                 1.3964,                 1.4348,                0.40033,                0.58406,                0.48907,                0.32924,                  1.178,                 1.4638,                 1.8354,              0.0049675,              0.0049675,              0.0049675
                     64,                 1.0753,                 1.3919,                 1.4378,                0.39655,                0.59394,                0.48485,                0.32952,                 1.1717,                 1.4561,                 1.8289,               0.004885,               0.004885,               0.004885
                     65,                 1.0673,                 1.3969,                 1.4304,                0.41564,                0.57315,                0.48361,                0.32406,                  1.179,                 1.4854,                 1.8346,              0.0048025,              0.0048025,              0.0048025
                     66,                 1.0686,                  1.362,                  1.427,                0.40501,                0.56413,                0.48679,                0.32728,                 1.1812,                 1.5067,                  1.843,                0.00472,                0.00472,                0.00472
                     67,                 1.0679,                 1.3798,                  1.434,                0.42347,                0.53229,                0.48705,                0.32958,                 1.1767,                 1.4842,                 1.8329,              0.0046375,              0.0046375,              0.0046375
                     68,                 1.0681,                 1.3829,                  1.431,                0.40842,                0.55848,                0.48333,                0.32688,                 1.1786,                  1.488,                 1.8367,               0.004555,               0.004555,               0.004555
                     69,                 1.0676,                 1.3721,                 1.4283,                0.39195,                0.58225,                0.48624,                0.32825,                 1.1709,                  1.481,                 1.8329,              0.0044725,              0.0044725,              0.0044725
                     70,                 1.0582,                 1.3717,                 1.4262,                0.38691,                0.57536,                0.48558,                 0.3286,                 1.1656,                 1.4893,                 1.8276,                0.00439,                0.00439,                0.00439
                     71,                 1.0687,                 1.3634,                 1.4299,                0.38999,                 0.5975,                0.48299,                0.32936,                 1.1625,                 1.4876,                 1.8221,              0.0043075,              0.0043075,              0.0043075
                     72,                 1.0594,                 1.3632,                 1.4197,                 0.4138,                0.57388,                0.49187,                0.33215,                  1.171,                 1.4723,                 1.8377,               0.004225,               0.004225,               0.004225
                     73,                 1.0662,                  1.356,                 1.4283,                0.40278,                0.58346,                0.49032,                0.33149,                 1.1651,                 1.4943,                  1.825,              0.0041425,              0.0041425,              0.0041425
                     74,                 1.0513,                 1.3609,                 1.4168,                0.40489,                 0.5699,                0.49373,                0.33201,                 1.1691,                 1.4863,                 1.8321,                0.00406,                0.00406,                0.00406
                     75,                 1.0605,                 1.3558,                 1.4239,                 0.4168,                0.57682,                0.49645,                0.33683,                 1.1615,                  1.475,                 1.8255,              0.0039775,              0.0039775,              0.0039775
                     76,                 1.0515,                 1.3334,                 1.4192,                 0.4123,                0.60062,                0.49566,                 0.3355,                 1.1689,                 1.4783,                 1.8287,               0.003895,               0.003895,               0.003895
                     77,                 1.0516,                 1.3316,                 1.4162,                0.41358,                0.58303,                0.49638,                0.33583,                 1.1746,                 1.4789,                 1.8348,              0.0038125,              0.0038125,              0.0038125
                     78,                 1.0495,                 1.3329,                 1.4207,                 0.4106,                0.57653,                 0.4927,                0.33277,                 1.1707,                 1.4806,                 1.8309,                0.00373,                0.00373,                0.00373
                     79,                  1.057,                 1.3312,                 1.4222,                0.41079,                0.58149,                 0.4939,                0.33406,                 1.1724,                 1.4863,                 1.8279,              0.0036475,              0.0036475,              0.0036475
                     80,                 1.0477,                 1.3163,                  1.417,                0.40383,                  0.594,                0.49434,                0.33511,                 1.1712,                 1.4904,                 1.8298,               0.003565,               0.003565,               0.003565
                     81,                 1.0535,                 1.3267,                 1.4194,                0.41227,                0.59579,                0.49637,                0.33803,                 1.1712,                  1.499,                 1.8283,              0.0034825,              0.0034825,              0.0034825
                     82,                 1.0443,                 1.3311,                 1.4152,                0.40768,                0.59745,                0.49254,                0.33595,                 1.1691,                 1.5069,                 1.8284,                 0.0034,                 0.0034,                 0.0034
                     83,                 1.0534,                 1.3197,                 1.4194,                0.40871,                0.57432,                0.49599,                0.33778,                 1.1693,                 1.5007,                 1.8303,              0.0033175,              0.0033175,              0.0033175
